,mean,std,best
qlearning_pso,114.49096059586418,68.83557565760536,2.734924521519133e-05
pso,323.1621341970747,111.90348528261893,142.43798855669945
ga,115.70696852759951,55.63484947466051,23.15405106224989
iterative_local_search,254.46841485731608,139.30340639604603,46.374474991859415
simulated_annealing,665.7876833149901,187.93974581700957,457.8656310806797
